kind,blue,red,seed,game,durationSeconds,kills,firstKillSeconds,firstKillSource,winner,endReason,baseReturn,baseDefense,grubs,herald,heraldCharges,initialBlue,initialRed,finalBlue,finalRed,draftIdentity,outputHash,executionSeconds
fresh,KT,DK,91008081,1,2440,29,160,SKIRMISH,BLUE,NEXUS_DESTROYED,50,2,3,1,3,DIVE,PICK_CONTROL,DIVE,PICK_CONTROL,ace403c89f7d615837afcb9febae55c330fa8fc26679247b84b7763167401719,019be33d9e49e81cc1b28a37b01518bf315918148ba43599f2d8092482e69b84,5.35
fresh,KT,DK,91008097,1,2490,30,140,SKIRMISH,RED,NEXUS_DESTROYED,48,6,2,1,3,POKE_SIEGE,PICK_CONTROL,POKE_SIEGE,PICK_CONTROL,a5d5e8a5bbe1daddecfa64fbdeebedac63029d9dcb1fd40e5734679f4cc9fc29,328beebbe9ee3c21d20a5dccd1787663a017e95501334dd525b8b5c2d9b35389,5.916
fresh,KT,DK,91008113,1,1820,21,210,SKIRMISH,RED,NEXUS_DESTROYED,54,3,3,1,1,POKE_SIEGE,POKE_SIEGE,POKE_SIEGE,POKE_SIEGE,848992c914e6d5b60b48c3316d4ffcd16657d03abc670992d588abee15996b21,76d8720a2fda7f113da11a7fa4266993eb0f3b8041d692df9170f230e0ad33a7,6.099
fresh,DK,KT,91008011,1,2190,32,250,SKIRMISH,RED,NEXUS_DESTROYED,56,5,3,1,3,PICK_CONTROL,PICK_CONTROL,PICK_CONTROL,PICK_CONTROL,217d9049d6f9620c38763097535542f1341f3726e13b2bf49bc7402c3f2d13ca,bbf9783b02cb3274eb41096800031849e279915a380fb61237d0d324a855a113,5.632
fresh,DK,KT,91008023,1,1820,33,60,SKIRMISH,BLUE,NEXUS_DESTROYED,41,4,3,1,0,POKE_SIEGE,POKE_SIEGE,POKE_SIEGE,POKE_SIEGE,d176f7980e90d648cb45aaa496ed145eafdb105f8227236c5838d8832fdb7692,c24fcb0dd6af7c308bebf2e28e0962ecf6ce6b4c574596dd1dcb057a492df106,5.981
fresh,DK,KT,91008037,1,2030,24,580,OBJECTIVE_FIGHT,RED,NEXUS_DESTROYED,17,1,3,1,1,PICK_CONTROL,DIVE,PICK_CONTROL,DIVE,c9c1680ba94165621dfc7e450f8be1bc04c4767f4606bd640a3f205d67b7270b,bbdcdf698028db7d08af5fc3fc48a750fac364f54a0dc1ed5eb0c2d11f9cf015,5.071
fresh,DK,KT,91008051,1,2420,39,240,ROAM,RED,NEXUS_DESTROYED,66,3,3,1,2,POKE_SIEGE,PICK_CONTROL,POKE_SIEGE,PICK_CONTROL,072316f807be1139e774863808b8ea6686b82e61d99c2b1cc73fae84c8137fb1,d7c0743bcde5630119f448dcd227616caa0abc86a1b82f1352f418bd9a41ffc1,5.814
fresh,DK,KT,91008067,1,1730,21,60,SKIRMISH,BLUE,NEXUS_DESTROYED,30,2,2,1,1,POKE_SIEGE,POKE_SIEGE,POKE_SIEGE,PICK_CONTROL,07d3a2076e72dbeadac9273822052ef8019dd284d50d5f7833d11ad866bc4297,71944b0de5351ad658033f1e086bf04002cfc43353c7f6c7726b3ee32011a4c3,5.238
fresh,DK,KT,91008081,1,1420,13,160,SKIRMISH,BLUE,NEXUS_DESTROYED,14,2,3,1,3,PICK_CONTROL,POKE_SIEGE,PICK_CONTROL,POKE_SIEGE,0f46aab1f02286cfa9f5ea172bc79b0a85fd4ee18741b5667348b57e7f96b3d7,083b3cbeb7f5367338108a34e80bbada065414352966fedeb5852efa9f393b17,5.882
fresh,DK,KT,91008097,1,2030,27,140,SKIRMISH,BLUE,NEXUS_DESTROYED,76,6,3,1,3,POKE_SIEGE,PICK_CONTROL,POKE_SIEGE,PICK_CONTROL,f864cd145a4274eeb331d12969d06ec65b9d2749726566dfa47112ecaa246cfa,008ad87868400baaf5e21b72a6481ec68330d85c3068af5116be89e416e8d407,5.467
fresh,DK,KT,91008113,1,1900,14,210,SKIRMISH,RED,NEXUS_DESTROYED,23,2,2,1,3,POKE_SIEGE,DIVE,POKE_SIEGE,FRONT_TO_BACK,41830824c56b8cdadbf72798f8758269292fd97bb7222d4ccbe2b337c82ba33e,49a756c360989cebf0255647a66af8f8fa24bc67da068d652e764647f8399d56,5.24
fresh,T1,KRX,91008011,1,2890,46,250,SKIRMISH,RED,NEXUS_DESTROYED,53,8,3,0,0,DIVE,POKE_SIEGE,DIVE,POKE_SIEGE,e27d4c4bd30eff6ea65922733ec60b916ba99fac40bf22205c49aa3cf33d6f6d,a1ad1f7ca157446621ce0110e725a1d0d8867c3861e1f7cf2d730f961c9e45c9,5.62
