kind,blue,red,game,seed,durationSeconds,duration,winner,kills,firstBloodSeconds,loserAlive,blueLineup_TOP_JG_MID_ADC_SUP,redLineup_TOP_JG_MID_ADC_SUP,blueBans,redBans,exclusionCount,bluePreferredPlan,redPreferredPlan,inputHash,outputHash,draftIdentity
fresh,DK,KT,1,91008051,2340,39:00,BLUE,28,110,2,jayce / lee-sin / orianna / ziggs / bard,rumble / poppy / syndra / varus / neeko,vi|camille|nocturne|xin-zhao|pantheon,jarvan-iv|nautilus|wukong|shen|rakan,0,POKE_SIEGE,PICK_CONTROL,17f26cadc560ff06b36728aff740bc7c500b45373cbb92eabd47da53bc406ec4,04755f4eea2ea670c68459cb8d9afd178366ba2bc9771ed42af88618cf636d39,122fb81842670eeac90e6e9dc6b716e6a5d66ddc2e9d972a6c48f0b94a9122da
fresh,DK,KT,1,91008067,1450,24:10,BLUE,22,40,2,jayce / lee-sin / orianna / ezreal / poppy,rumble / pantheon / cassiopeia / varus / neeko,vi|camille|nocturne|azir|xin-zhao,jarvan-iv|nautilus|wukong|shen|alistar,0,PICK_CONTROL,PICK_CONTROL,bc21f05c364e579eaa167c013d4e50edf9e1b26fd48cc1bc4c2c162a66028a9a,f08c768c0b7539c6499fe4a559d6fc404c032b2ff95917ebc4c817cc68b36a8b,b2f33e2756f4cc1bdcfd060039963beed276f59636ecac990b0827ed28441254
fresh,DK,KT,1,91008081,1560,26:00,RED,19,220,5,jayce / xin-zhao / orianna / ziggs / poppy,rumble / pantheon / cassiopeia / varus / neeko,nautilus|jarvan-iv|camille|lee-sin|azir,vi|nocturne|wukong|ambessa|gnar,0,PICK_CONTROL,PICK_CONTROL,7f01855b8eaa96fb7736b0613030f94f1854e1c71fc628db46186e1a79cf67f8,8d32b8437af448dd6c57388342277c2df67ef7be3ed0835b3691f45b60b4fdb8,798f8c281b41f246a2551e665fa43939afbf7ccec4c745656e9ad4492540b514
fresh,DK,KT,1,91008097,2530,42:10,BLUE,24,60,5,jayce / xin-zhao / orianna / taliyah / poppy,rumble / wukong / cassiopeia / varus / neeko,jarvan-iv|camille|nocturne|lee-sin|pantheon,vi|nautilus|ambessa|rakan|shen,0,PICK_CONTROL,PICK_CONTROL,0a16dba952cd30904863c311a3aa4bc14ac431b478192dc72d316154cea25087,b7d1c6b35cc671e8b0f39f67e0f29f148bb5f327899de00de197ac276f1a1176,6f5b3491c4c53adbfca5ad73e85726cdc04946581866d8ec172bb46a90cb7605
fresh,DK,KT,1,91008113,2250,37:30,RED,22,20,5,jayce / xin-zhao / orianna / taliyah / poppy,rumble / naafiri / cassiopeia / varus / neeko,vi|nautilus|nocturne|pantheon|lee-sin,camille|jarvan-iv|wukong|shen|gnar,0,PICK_CONTROL,PICK_CONTROL,128ae9187b084d94cb69b9e0019e427c45f88e52194fb801e34730365d3c4165,ec4782d2d77cf021a76510c897099cf6eb7db05a1ea36c8bbc8f97debced71f2,b644a446e2cdc930cc78b1248273ca9afcf4bbe349d18941a68f105f017b1307
fresh,T1,KRX,1,91008011,1910,31:50,RED,19,30,3,rumble / lee-sin / cassiopeia / varus / neeko,jayce / pantheon / azir / ezreal / poppy,nautilus|camille|jarvan-iv|rakan|rell,vi|xin-zhao|orianna|nocturne|wukong,0,PICK_CONTROL,POKE_SIEGE,6c54579daedb56dec2d5e16862bdd0deea7df8d890cb9edaaf2a12babbd29260,280dffe224bf1c611fe04733c74efc68b217d103ae6ce3a521be2d94f0f3eaf5,e74ff6e8db30d534e19db60476935379454628045634d65a1a1cb8639a7b441c
fresh,T1,KRX,1,91008023,2070,34:30,BLUE,16,40,2,jayce / jarvan-iv / galio / varus / neeko,rumble / naafiri / orianna / ezreal / karma,vi|camille|ambessa|xin-zhao|rell,nocturne|nautilus|poppy|azir|gnar,0,PICK_CONTROL,POKE_SIEGE,86a8c06f6ab50ca9f6f176a67fd06e3f14356198b27eeb467c57fc9a566c15b9,1fb4fc980b71ba9676161186abdb170a7a0698925fa60fab5f606aaef4b8cdaa,6c2d5bab5d9bc5fb551a76ea9f5230a1826f77ea903d092a88221a36d8566558
fresh,T1,KRX,1,91008037,2150,35:50,BLUE,22,140,1,varus / lee-sin / galio / ezreal / neeko,rumble / xin-zhao / orianna / ziggs / bard,vi|nautilus|nocturne|rakan|rell,camille|jarvan-iv|poppy|ryze|syndra,0,PICK_CONTROL,PICK_CONTROL,2e3b7ae54031c912f3bc5ca57d6072b44760f200745e9c52538efe5ecb4c22b2,53ce4822192b10b23b642349d38383c0da2bc254c4ce5e4685db68d840eb1073,1019f9ef60c04dab9cc400a947c16c6481b5facda50ea6837bee14a657b19019
fresh,T1,KRX,1,91008051,1950,32:30,BLUE,20,110,5,jayce / nocturne / syndra / varus / neeko,rumble / naafiri / orianna / ezreal / bard,camille|nautilus|wukong|xin-zhao|rakan,vi|jarvan-iv|poppy|gnar|ambessa,0,PICK_CONTROL,PICK_CONTROL,c69d491c9773090e04cf78994f179a04cc34cac16afc3300feabc8f96941deca,e32280c00ec3226e262ce4deb8ce105ab00cd3f119b471a1a32c929e9ab1fcad,4172976283aed5ebbc5b3586886384acff54d4893209309864cb144e67d73c8d
fresh,T1,KRX,1,91008067,1680,28:00,RED,28,40,3,gnar / naafiri / orianna / ezreal / seraphine,jayce / xin-zhao / syndra / varus / neeko,nautilus|camille|nocturne|ambessa|azir,vi|jarvan-iv|poppy|rakan|wukong,0,POKE_SIEGE,PICK_CONTROL,91d97372f62a59a43d7a5663e413e0e42cf88e6795a33851839442c05208ef5d,1a1a3b01f2c2691c9d1076773829cb9b8b5f021c1dc8d4d52be748ab7e32f18a,124dd24f60f35194a813a8edd6a0b4e6619da20487883138ef4c026152992b78
